speakers,date,start_time,stop_time,transcript
SPEAKER_00,2024-03-28,17:52:19,17:52:22,"Hey, this is Bruce. I'm testing my program."
SPEAKER_01,2024-03-28,17:52:24,17:52:27,"You put it in a teapot it becomes the teapot."
SPEAKER_00,2024-03-28,17:57:07,17:57:11,"Hello, this is Bruce. I'm testing my program. I hope it works."
SPEAKER_01,2024-03-28,17:57:11,17:57:15,"What into a bottle it becomes the bottle you put in your cheaper it becomes"
SPEAKER_00,2024-03-28,17:59:28,17:59:34,"Hello this is Bruce I'm testing my program I hope it walks"
SPEAKER_01,2024-03-28,17:59:34,17:59:38,"How it can crash. Be water, my friend."
SPEAKER_00,2024-03-28,18:59:23,18:59:26,"Hello this is Bruce, I'm testing my speech to a taxo program."
SPEAKER_01,2024-03-28,18:59:30,18:59:31,"Be water, my friend."
SPEAKER_01,2024-03-30,16:14:42,16:14:47,"Hi, this is Bruce. I'm testing my program."
SPEAKER_00,2024-03-30,16:14:47,16:14:57,"I am also testing hello hello can I can you even hear me I will I even be audible actually okay anyways I am testing as well."
SPEAKER_01,2024-04-05,17:13:09,17:13:10,"Let me take the light."
SPEAKER_00,2024-04-05,17:13:03,17:13:06,"Hi, this is Surprise, I'm with Bruce."
SPEAKER_00,2024-04-06,16:36:18,16:36:21,"Hello, this is Bruce, I'm testing my program."
SPEAKER_01,2024-04-06,16:36:22,16:36:28,"It's Sunday morning on the last day of September."
SPEAKER_00,2024-04-06,16:38:49,16:38:52,"Hello, this is Bruce and I'm testing my program."
SPEAKER_01,2024-04-06,16:38:53,16:38:58,"It's Sunday morning on the last day of September."
SPEAKER_00,2024-04-14,02:25:27,02:25:30,"Hello, this is Hombo. I'm testing my program."
SPEAKER_01,2024-04-14,02:25:32,02:25:33,"Be water my friends."
SPEAKER_00,2024-08-16,20:34:11,20:34:14,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-16,20:34:16,20:34:17,"Be water my friend."
SPEAKER_00,2024-08-16,20:34:22,20:34:25,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-16,20:34:27,20:34:28,"Be water my friend."
SPEAKER_00,2024-08-19,13:08:57,13:09:47,"Heart attacks also called myocardial infarctions. Chest pain is the most common warning sign of a heart attack, but there can be other symptoms too. A heart attack happens when blood flow to the heart is blocked or cut off. If there's not sufficient oxygen-rich blood flowing to the heart, it can cause damage to the affected area. As a result, the heart muscles begin to die. General symptoms for a heart attack include chest pain or discomfort, shortness of breath, pain in my arm, shoulder or neck, nausea, sweating, lightheadedness or dizziness, upper body pain, trouble breathing, vomiting, pain in the upper back or jaw, dizziness or lightheadedness, extreme fatigue, stable angina, physical exertion, stress, unstable angina, unpredictable."
SPEAKER_01,2024-08-21,20:57:15,20:57:17,"Yes, please teach me from the fundamentals."
SPEAKER_00,2024-08-21,20:57:19,20:57:23,"Okay, first of all, you need to learn the basic boxing stance."
SPEAKER_01,2024-08-21,20:58:50,20:58:54,"Okay, first of all, you need to learn the basic boxing stance."
SPEAKER_00,2024-08-21,20:58:45,20:58:48,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-08-21,21:02:21,21:02:25,"Okay, first of all, you need to learn the basic boxing stance."
SPEAKER_00,2024-08-21,21:02:16,21:02:19,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-08-21,21:04:19,21:04:23,"Okay, first of all, you need to learn the basic boxing stance."
SPEAKER_00,2024-08-21,21:04:14,21:04:17,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-08-21,21:06:43,21:06:47,"Okay, first of all, you need to learn the basic boxing stance."
SPEAKER_00,2024-08-21,21:06:38,21:06:41,"Yes, please teach me from the fundamentals."
SPEAKER_00,2024-08-21,21:09:48,21:09:53,"Okay, first of all you need to learn the basic boxing stance."
SPEAKER_01,2024-08-21,21:11:32,21:11:33,"Okay, first of all..."
SPEAKER_00,2024-08-21,21:11:33,21:11:36,"you need to learn the basic boxing stance."
SPEAKER_00,2024-08-21,21:22:53,21:22:55,"Hi, do you want an unboxing?"
SPEAKER_00,2024-08-21,21:22:56,21:23:00,"Yes, please teach me from the fundamentals."
SPEAKER_00,2024-08-21,21:23:01,21:23:06,"Okay, first of all you need to learn the basic boxing stance."
SPEAKER_01,2024-08-21,21:55:58,21:55:59,"Do you want to name boxing?"
SPEAKER_00,2024-08-21,21:56:00,21:56:03,"Yes, please catch me from the fundamentals."
SPEAKER_01,2024-08-21,21:56:05,21:56:07,"Okay, first of all..."
SPEAKER_01,2024-08-21,21:56:07,21:56:09,"You need to learn the basic boxing stance."
SPEAKER_01,2024-08-21,21:57:38,21:57:39,"Do you want an unboxing?"
SPEAKER_00,2024-08-21,21:57:40,21:57:44,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-08-21,21:57:45,21:57:49,"Ok, first of all, you need to name the basic boxing stance."
SPEAKER_01,2024-08-21,22:03:16,22:03:18,"Do you want to know boxing?"
SPEAKER_00,2024-08-21,22:03:19,22:03:22,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-08-21,22:03:23,22:03:25,"Okay, first of all..."
SPEAKER_01,2024-08-21,22:03:25,22:03:28,"you need to learn the basics boxing stance."